id_departamento;id_cargo;id_loja;id_contato;id_endereco;nome;sobrenome;dt_nascimento;genero;cpf;salario;dt_admissao;dt_demissao
8;7;63;744856;917948;Raquel;Monteiro;06/02/2005;F;578.961.403-57;2083.59;15/04/2020;
10;7;62;809696;694363;Aurora;Andrade;10/08/1994;M;249.638.751-28;4564.99;02/01/2016;
3;8;30;553201;927933;Enzo Gabriel;Moreira;22/07/1961;F;132.076.894-69;18298.74;28/05/2017;
1;1;32;518608;341777;Maria Clara;Freitas;28/03/1993;F;680.479.521-02;16998.13;19/05/2018;
7;4;30;575210;663842;Amanda;Nascimento;11/08/1999;M;679.481.023-96;16992.8;20/12/2017;
1;7;45;995673;711475;Ana Julia;Montenegro;06/09/1997;F;451.328.679-28;7349.28;07/12/2015;
1;9;7;641794;102535;Luan;Ramos;16/07/1967;M;345.069.871-01;3699.72;06/04/2016;
5;5;54;721987;191073;Kevin;Fogaça;07/11/1986;M;076.395.842-56;10298.7;05/06/2015;
2;1;20;288059;958274;João;Pires;30/11/1980;F;185.937.046-20;16296.75;15/08/2020;
5;3;15;685315;546168;Josué;Rodrigues;15/03/2001;F;426.780.193-22;3629.52;09/06/2022;
1;1;62;42639;215730;Esther;Sá;02/11/1971;F;751.063.284-62;11829.58;13/10/2018;
10;1;41;887473;785525;Francisco;Vasconcelos;27/07/2001;F;896.420.135-33;14678.62;21/04/2016;
7;6;58;913741;564060;Gustavo Henrique;Leão;26/02/1963;M;162.503.479-25;5345.12;22/05/2015;
1;3;62;158360;284556;Maysa;Duarte;24/01/1976;F;159.026.874-11;7743.95;16/01/2015;
2;6;44;817278;650682;Ravi;Fonseca;03/09/1963;M;923.016.458-51;2262.25;18/04/2015;
10;5;20;378439;413970;Ravi Lucca;Casa Grande;07/08/1971;M;719.256.804-01;6928.03;13/01/2021;
4;1;1;322836;188311;Bruna;Melo;15/10/1978;M;485.190.726-58;7099.41;14/07/2017;
5;7;6;113930;104229;Fernanda;Casa Grande;25/05/1967;F;359.162.480-24;10269.09;14/02/2017;
6;2;15;502359;121644;Asafe;Gonçalves;05/03/1964;F;126.843.975-46;9390.9;11/12/2019;
3;3;13;657187;591908;Daniela;Barros;03/10/1975;F;750.369.821-77;16413.19;20/05/2022;01/04/2023
2;2;30;847011;88783;Esther;da Rocha;01/12/1990;M;129.804.763-31;15372.59;28/08/2021;
1;2;40;412938;583506;Léo;Vargas;28/07/1987;F;623.784.195-46;9798.07;06/05/2016;
10;4;43;443588;87728;Maria Sophia;Sá;24/09/1972;F;407.938.156-57;5572.55;31/12/2019;19/08/2024
10;3;30;452169;201269;Leonardo;Lima;15/12/1990;F;173.482.059-41;3627.73;25/07/2015;
1;9;49;473550;788989;Alexandre;da Cunha;26/12/1985;M;867.052.419-85;3699.84;28/04/2016;
4;1;10;994010;836170;Brayan;Barbosa;26/09/1976;M;485.091.763-10;13033.18;21/10/2019;
8;7;39;379210;572933;Alexia;Moreira;09/01/1968;M;983.407.621-50;3437.81;06/11/2019;
8;3;30;591297;425625;Luísa;Freitas;17/07/1997;F;291.503.487-79;17736.65;01/04/2017;
6;8;58;522869;665914;Ana Clara;Fogaça;21/11/2001;M;763.984.210-78;11541.97;05/06/2022;
1;6;51;739869;783328;Ana Clara;Casa Grande;05/08/1992;F;039.285.764-29;16635.19;04/04/2016;
3;5;37;631858;822259;Isabela;Abreu;17/06/1983;M;019.256.873-68;17083.17;16/02/2018;
8;2;24;838804;88755;Gustavo Henrique;Lopes;28/03/1990;M;562.739.140-52;2727.56;17/10/2023;
5;1;64;795763;884951;Ana Vitória;Cardoso;01/02/1973;F;275.638.410-08;7616.0;19/03/2018;
3;8;56;389360;529531;Luna;Costela;15/10/1998;F;069.157.834-66;18170.17;28/10/2017;
10;2;38;711534;832722;Ravi Lucca;Pimenta;14/02/1979;M;914.623.708-96;15318.86;03/10/2024;
4;5;10;561425;944913;Maria;Mendonça;17/03/1976;F;735.209.481-41;16775.39;10/12/2014;
7;4;61;892671;906785;Amanda;Rezende;12/05/1959;M;216.584.390-15;13654.21;05/08/2022;
3;5;41;531479;597968;Matheus;Fernandes;08/04/2000;F;195.243.680-05;7654.69;03/10/2023;
5;5;31;810005;427896;Caio;Correia;19/12/1983;F;135.962.478-37;16485.69;17/03/2019;
3;4;55;301034;764885;Maria Luísa;Ferreira;16/03/1975;F;041.935.867-66;2527.25;10/04/2023;
7;3;35;515723;933193;Maria Clara;Macedo;29/11/1966;M;193.087.546-01;13960.56;19/02/2022;
6;7;65;36889;641489;Isabel;Aparecida;24/02/1971;F;379.125.460-06;8653.64;08/05/2024;
8;3;20;21211;34043;Allana;Pimenta;11/09/1995;M;347.869.210-50;13154.38;26/02/2015;
9;6;18;204445;402039;Isaac;Pimenta;09/08/1965;F;263.190.745-07;3553.44;02/06/2021;
8;6;52;682070;130363;Yago;Campos;19/04/1997;F;534.196.027-07;16088.48;10/06/2020;
7;5;41;961427;782012;Ravi Lucca;Freitas;23/08/2001;M;742.108.965-94;11101.64;30/01/2017;
4;1;13;820107;411070;Isabela;Cassiano;26/11/1970;F;812.693.507-30;8374.26;07/11/2018;
6;2;7;46810;945740;Hadassa;Fogaça;13/04/2000;M;927.046.813-50;10494.05;16/02/2020;
9;4;20;240811;98017;Apollo;Câmara;04/09/1996;F;278.490.561-67;10881.47;15/02/2018;
3;7;33;935165;593508;Anna Liz;Viana;22/09/1978;F;603.821.549-24;18573.29;20/04/2019;
7;2;24;104031;435329;Catarina;Rios;02/12/1969;M;405.968.137-75;15084.17;25/03/2023;
8;7;39;719762;437277;Davi;Alves;22/04/1975;M;093.528.416-89;10687.56;09/03/2017;
6;5;19;82354;369627;Pedro;Machado;28/06/1988;M;254.189.360-42;3745.49;02/11/2021;
6;6;64;186550;10449;Vinícius;Nascimento;12/01/1995;M;701.369.825-30;16651.62;14/08/2023;
3;4;28;3390;214739;Juan;Barros;02/05/1981;M;329.014.586-70;15337.57;21/02/2022;
1;4;14;900911;148780;Gustavo Henrique;Pinto;24/08/2001;M;720.863.954-00;9899.89;27/04/2023;
5;3;56;29294;218230;Felipe;Fogaça;17/10/1978;F;273.491.865-09;7697.74;02/04/2023;31/01/2024
5;9;19;666806;342868;Arthur;das Neves;18/12/1994;M;487.095.236-00;12470.86;18/08/2022;
9;5;3;164001;394883;Isabela;Silveira;16/01/1967;M;657.092.814-76;18995.05;25/05/2018;
6;9;58;254635;248154;Sarah;Moreira;11/01/1982;M;643.082.157-90;6884.6;22/08/2017;
1;3;47;630413;21548;Leandro;Farias;29/06/1959;F;902.765.413-16;2941.54;28/09/2021;
7;5;30;577532;436994;Lorena;Cavalcante;11/12/1958;M;207.198.356-40;12434.92;25/01/2018;
6;2;28;260109;466419;Davi Miguel;Novaes;20/09/1987;F;428.051.679-02;13285.32;08/04/2022;
7;7;8;8837;437493;Vitor;das Neves;07/04/1978;F;064.275.819-02;9664.0;21/03/2022;
8;2;2;996429;194468;João Miguel;Abreu;02/09/1993;M;265.304.897-38;6623.95;21/02/2015;
3;8;29;973360;418148;Eloá;Moura;29/08/1969;M;357.081.496-39;15701.35;07/01/2022;
4;8;9;356923;982626;Eduardo;Oliveira;16/05/1989;M;371.869.052-77;8074.3;02/07/2019;
2;8;35;791712;213532;Thiago;Lopes;10/02/1983;F;951.203.874-97;1534.1;23/08/2021;
10;8;59;8155;229360;Helena;Lopes;10/02/2002;F;607.241.958-58;3617.46;24/08/2021;29/08/2023
5;9;3;638752;163810;Rebeca;Carvalho;14/09/1961;F;158.069.724-02;14566.44;10/08/2015;
8;4;63;570154;799010;Ana Vitória;Alves;18/04/1980;F;624.351.798-55;6681.64;30/07/2023;14/09/2023
2;5;63;926646;700962;Luan;Cardoso;28/12/1967;M;708.643.159-10;1504.68;31/03/2016;
10;7;17;466181;106989;Luiz Fernando;da Luz;04/08/1972;F;459.627.301-43;8045.71;11/04/2024;
4;2;7;37174;73879;Leandro;Andrade;01/12/2001;F;920.687.153-68;7153.67;08/12/2018;
9;4;36;933966;964667;Maria Cecília;Moreira;20/09/1969;M;527.640.981-11;2759.72;01/12/2014;
5;9;11;140951;601864;Emanuel;Caldeira;25/12/1987;M;957.234.680-65;11330.45;10/03/2017;
9;7;41;777443;816370;Anna Liz;Almeida;20/04/1971;F;205.418.396-24;6906.7;03/03/2020;
3;3;15;129288;730891;Heloisa;Aragão;26/09/1999;M;251.306.947-16;8556.41;22/02/2020;
3;9;59;700720;313484;Maria;Jesus;03/03/1971;F;074.139.285-23;13194.06;27/04/2015;
4;8;5;512605;728442;Clara;Almeida;04/12/1970;F;605.349.782-74;10615.32;27/12/2023;31/05/2024
8;5;63;149749;781409;Vinicius;Alves;21/12/2002;F;819.260.345-89;2469.51;31/08/2023;
1;6;58;494434;409958;Allana;Andrade;04/12/1958;M;652.481.907-11;17155.16;01/01/2019;24/04/2024
2;7;6;6736;378828;Bella;Alves;26/09/1991;M;603.152.487-26;3648.81;11/11/2020;
5;5;9;762420;944480;Rael;Castro;04/07/1987;M;752.340.198-88;4102.58;04/07/2021;
4;2;44;455102;483284;Luiz Felipe;Cassiano;14/03/1960;F;059.768.143-01;8606.41;29/04/2015;
7;3;9;469020;978565;Larissa;Lopes;12/07/1997;M;532.741.806-53;11196.99;23/10/2021;
3;8;42;366129;827681;Clara;Brito;29/03/1988;F;637.819.524-28;9404.87;18/08/2021;
4;4;45;460611;985698;Davi Miguel;da Cunha;24/08/1977;M;850.463.197-48;12350.81;06/05/2020;
7;1;60;245398;663933;Heloísa;Pires;18/02/1966;M;802.539.671-12;17613.67;29/03/2022;
3;4;6;640450;311980;Gustavo Henrique;Silva;23/03/1990;M;972.183.406-87;14541.09;11/06/2023;
5;6;46;431419;480557;Henry Gabriel;Freitas;19/05/1982;M;257.840.136-53;13189.77;20/10/2024;
9;7;53;609181;476686;Aylla;da Rocha;27/09/1984;F;046.953.217-34;6212.92;10/10/2020;
6;5;66;44287;45936;João Felipe;Cardoso;19/05/1966;M;952.034.816-60;4512.86;13/03/2016;
1;3;48;66784;824894;Laís;Nogueira;26/07/1996;F;298.165.073-40;14089.32;06/04/2023;08/01/2024
7;9;29;966150;231707;Alícia;Silva;06/09/1981;F;164.927.530-70;5067.69;10/04/2021;
10;2;23;833398;334528;Ana Laura;da Costa;20/08/1984;F;567.423.809-00;11414.17;21/05/2017;
5;1;21;547347;46507;Anthony;Pacheco;25/05/1999;M;813.456.097-01;8321.03;08/04/2021;
9;6;3;196907;877964;Enzo Gabriel;Vieira;29/04/1961;M;015.673.298-02;6148.63;25/02/2021;
5;5;62;542010;901770;Thiago;Rios;25/12/1991;F;321.647.089-03;6210.82;03/09/2023;
4;1;63;320670;979563;Julia;Pereira;31/10/2003;M;376.204.195-43;1670.36;18/05/2022;
8;1;17;961700;848301;Cauê;Garcia;12/10/1964;F;965.143.087-75;19609.53;12/06/2019;
2;2;53;85435;252859;Natália;Mendonça;10/05/1996;M;674.198.205-11;16785.9;26/04/2017;
4;8;17;642522;80891;Maria Alice;Azevedo;15/07/1963;F;768.402.359-47;11841.71;03/12/2019;
7;1;59;189152;261859;João Miguel;Fonseca;13/04/1965;F;209.461.835-89;5570.93;16/05/2024;
5;6;42;335122;455967;Mariane;Silva;09/11/2005;M;175.620.438-17;11805.5;05/05/2023;
9;4;13;745609;311051;Ana Lívia;da Mota;27/02/1974;F;075.429.618-02;11009.66;21/09/2018;
5;5;5;243048;17363;Emilly;Garcia;09/10/1968;M;349.572.810-41;12875.13;27/11/2016;
3;7;28;260859;228658;Isadora;Fogaça;30/11/1992;F;735.928.614-09;17776.09;10/09/2019;02/08/2020
1;9;8;540314;449074;Maria Luiza;da Rocha;31/01/1967;M;725.196.840-11;3753.19;29/09/2016;
2;6;7;240714;707666;Hadassa;Gomes;04/07/1990;F;873.594.210-04;5598.82;23/03/2020;
4;2;18;543324;322457;Rafaela;Rodrigues;26/12/1958;F;175.396.024-06;5821.66;15/10/2021;
5;3;66;143957;849084;Francisco;da Luz;03/07/1972;M;521.798.034-60;11732.77;05/01/2015;
10;1;32;851440;136130;Giovanna;Nascimento;08/03/1959;F;213.057.864-08;4372.0;04/01/2016;
2;3;56;802204;216536;Stella;Cavalcanti;26/10/1974;F;368.907.145-39;12035.71;16/06/2019;
4;4;7;768146;138547;Benjamin;Pacheco;29/06/1982;M;597.814.063-48;15559.38;20/08/2016;
10;3;30;659544;522680;Yago;Alves;27/12/2005;M;296.148.730-78;12896.31;24/05/2024;
10;6;37;512963;477735;Heitor;Sales;04/03/1991;F;187.396.205-30;1733.76;16/03/2019;
3;8;48;848547;999635;Gabriela;Barros;27/04/1997;F;853.712.690-02;11601.53;24/06/2022;
2;5;11;144121;633661;Anthony Gabriel;Novaes;04/06/1986;F;736.128.405-17;14513.25;17/05/2022;
5;7;28;989621;62056;Alice;Fonseca;01/05/2003;M;721.984.035-79;2208.33;15/09/2020;
4;6;64;904883;462627;Brayan;Farias;09/03/2001;M;276.513.409-06;6311.97;10/07/2021;
5;1;29;373669;601456;Calebe;Viana;09/12/1981;M;835.147.906-39;15047.81;01/08/2024;
1;8;5;658328;64302;Paulo;Peixoto;28/11/1988;M;037.426.195-43;5967.14;07/12/2015;
6;2;46;860836;65438;João Felipe;da Cruz;13/01/1989;F;931.648.257-73;19483.73;09/04/2023;
4;8;11;456355;148956;Matheus;Castro;25/03/1984;F;857.362.904-56;7271.11;12/08/2018;
7;7;47;10102;429166;Ian;Sá;22/06/1969;F;673.250.418-53;11373.55;13/05/2016;
8;1;53;592161;966271;Júlia;Pacheco;20/08/1997;M;683.501.742-26;9065.28;16/02/2024;
1;9;42;144942;652051;Stephany;Azevedo;14/03/1964;M;970.134.268-22;2973.48;09/04/2015;
3;4;55;991909;23043;Rhavi;Pimenta;09/10/1960;M;985.132.046-33;15242.02;12/08/2019;
9;3;35;752661;82302;Pedro Lucas;Garcia;03/01/1985;F;853.642.079-00;18661.51;29/03/2020;
10;8;42;744602;157361;Maria Vitória;Azevedo;04/10/1994;M;765.390.418-10;6170.75;14/04/2017;
7;1;29;656162;977717;Bento;Campos;14/02/1988;M;304.298.615-24;10682.38;05/02/2018;
3;8;5;247617;532088;Vitória;Nogueira;06/12/1962;F;580.137.264-44;4502.27;22/09/2020;
6;5;48;842347;516228;Gael Henrique;Pimenta;24/01/1997;F;614.709.523-43;1773.5;17/02/2023;
5;9;50;491696;36626;Bernardo;Moreira;28/01/1974;F;513.896.704-57;18780.66;19/10/2020;
7;2;18;423393;363425;Levi;da Mata;04/08/1982;F;839.721.560-30;2446.32;16/04/2016;
1;5;20;713793;713445;Beatriz;das Neves;14/11/1980;F;019.278.654-76;19906.4;07/07/2022;
9;9;25;356810;404826;Felipe;Leão;31/01/1993;F;861.043.297-13;5365.94;22/12/2018;
6;4;43;614619;706598;Luiza;Rocha;04/06/2006;F;408.672.591-67;4507.19;07/04/2020;
3;6;45;887323;783701;Ágatha;Rezende;08/06/1978;M;032.749.816-13;12321.25;13/10/2024;
3;6;16;380836;305336;Rael;da Cunha;27/02/1980;F;879.503.264-92;7475.54;21/10/2018;
10;7;27;178296;1062;Maria Liz;Gomes;15/12/1960;M;314.085.967-84;12019.15;25/10/2023;
6;1;26;994688;756679;Júlia;Campos;04/10/1994;F;374.295.860-74;18333.26;01/09/2017;
5;4;48;73659;575540;Sabrina;Fogaça;26/08/1972;F;329.681.457-46;6656.08;18/02/2024;
9;3;25;66362;690867;Benjamim;Cirino;15/09/1974;M;623.941.580-42;12224.21;16/10/2023;
9;7;41;791417;455751;Ana Clara;Vieira;21/04/1960;F;730.816.495-01;7260.86;12/12/2023;
5;5;32;563999;552878;Sara;Monteiro;19/11/1965;F;210.675.893-68;19816.67;15/07/2022;
7;3;27;885776;6216;Yuri;Jesus;16/05/1982;M;641.978.520-02;16016.02;24/08/2015;
10;7;48;378475;486677;Cauê;Moraes;09/06/1963;M;739.561.208-68;11889.58;06/11/2020;
10;4;56;943524;16455;Elisa;Fonseca;09/02/1979;F;842.031.597-41;11288.26;01/01/2020;
4;6;30;658312;734097;Lunna;Carvalho;25/03/1991;F;458.679.312-00;1854.12;29/05/2023;
10;4;49;287806;194136;Ana Cecília;Rocha;20/04/1997;F;396.124.750-16;2941.6;04/09/2023;
8;9;25;938433;846017;Sophia;Vasconcelos;30/04/1993;M;754.326.089-10;19223.08;31/03/2019;
2;7;59;665583;413918;Maria Cecília;Sales;22/07/1963;F;031.629.745-34;6174.68;02/01/2021;
6;6;50;95032;321933;Vitor Gabriel;Albuquerque;09/10/2004;M;092.671.345-07;10611.58;28/11/2020;
4;7;55;405406;456773;Erick;Pacheco;07/04/1988;F;102.845.796-02;14396.33;28/05/2021;
10;8;49;371808;870164;Matteo;Dias;06/06/1971;M;279.465.380-65;11941.68;03/12/2014;
1;7;21;496737;965655;Cauê;Lopes;04/01/2000;M;021.385.749-97;2269.35;23/08/2020;
6;6;58;4712;72744;João Guilherme;Dias;02/08/2003;M;478.925.013-04;14769.82;15/09/2016;
8;1;13;329811;973218;Olivia;da Luz;28/11/1996;M;679.514.302-34;7323.82;26/10/2024;
5;7;31;703479;149037;Henry Gabriel;Cirino;11/09/1991;M;416.270.539-99;8977.76;05/01/2015;
1;3;4;131474;936200;Bruno;Pereira;19/11/1959;M;216.370.954-06;18346.48;27/04/2016;
1;9;26;45583;863496;Heloísa;Ramos;16/04/1998;F;309.785.641-20;19069.06;17/10/2021;
10;2;13;84651;586990;Jade;Nogueira;08/08/1962;M;782.415.603-62;16546.03;09/10/2019;
5;6;1;734429;743098;Vitor Gabriel;da Cunha;11/04/1973;F;608.475.293-47;15973.1;04/07/2023;
8;3;17;793429;943889;João Felipe;Camargo;25/06/1981;F;052.749.813-05;11725.44;12/03/2019;
10;3;44;672714;537105;Manuella;Farias;21/04/2005;M;791.023.485-60;18075.44;02/04/2024;
2;4;24;679897;829444;Letícia;Moreira;29/11/1963;F;326.748.105-80;12801.51;11/07/2017;
9;3;58;743997;349875;Bernardo;Gomes;26/09/2002;M;918.426.573-64;10314.98;18/09/2021;
9;2;2;860456;542818;Antonella;Souza;11/06/2004;F;975.140.362-61;1545.52;04/08/2023;
2;7;20;637053;369435;Anthony Gabriel;da Cruz;16/12/1997;F;179.234.860-69;7712.44;12/09/2023;
6;2;42;142721;332285;Natália;Camargo;12/08/1961;M;950.216.483-06;4878.09;02/01/2022;
6;4;29;46284;433939;Alexandre;Ramos;11/12/1974;M;752.083.149-32;14428.58;29/09/2024;
1;3;34;375269;963012;Maria Sophia;Cunha;24/09/1960;M;729.846.350-00;9052.18;04/08/2023;
10;5;53;704977;324789;Liz;Gonçalves;07/01/1975;F;564.182.973-00;9126.19;16/08/2022;
5;4;9;995398;406490;Renan;Peixoto;09/11/1981;M;925.168.740-49;8115.77;23/06/2022;
6;1;57;185690;423377;Maria Luiza;Costela;14/12/2005;M;253.804.761-71;7471.86;03/07/2021;
8;8;42;84359;899654;Yago;Moraes;15/08/1972;M;569.708.142-11;11408.85;09/05/2024;
5;1;31;679475;540924;Maria Cecília;Barros;12/12/1975;M;847.326.095-38;16977.1;26/07/2020;
6;2;19;494281;34674;Liam;Teixeira;25/12/1976;M;987.243.510-32;18317.53;26/05/2016;
5;1;2;762;394985;Enrico;Vieira;14/08/2001;F;180.654.237-44;4401.92;17/06/2024;
3;3;55;183097;817183;Ravy;Almeida;06/09/1961;M;149.683.720-78;13342.22;07/08/2019;
10;6;39;991533;25007;Ana Carolina;Castro;17/05/1971;F;932.167.850-68;19233.73;28/06/2019;
7;1;28;237425;251963;Nicolas;Barros;26/02/1968;F;623.940.871-96;7578.53;08/01/2017;12/06/2023
6;4;61;171570;921011;Vitor Hugo;Barros;21/06/2006;F;943.015.687-00;10063.63;07/05/2017;
3;7;24;592360;808200;Maria Vitória;Nascimento;01/09/1961;M;853.917.246-19;4499.61;24/10/2018;
7;3;56;156111;20458;Yan;Rocha;20/09/1971;M;157.264.809-02;16745.58;09/04/2024;
1;1;26;814869;970518;Heloísa;Azevedo;18/10/1970;M;618.473.592-64;12100.52;30/12/2023;
3;7;9;825967;27727;Mathias;Teixeira;18/12/1970;F;147.238.096-78;9570.88;28/05/2021;
6;4;58;967350;144527;Ísis;Cardoso;11/09/1995;F;920.843.571-79;10939.67;03/05/2018;
2;3;37;427566;593609;Heloísa;Borges;07/07/1965;F;861.453.702-62;19371.94;02/11/2018;
7;4;28;494020;400304;Rodrigo;Brito;09/08/1999;M;691.847.503-75;18452.24;02/06/2016;
8;7;13;965129;609617;Matheus;Brito;18/10/1993;M;236.489.570-74;16958.27;03/11/2020;23/04/2022
9;6;9;568685;22783;Noah;Sampaio;24/09/2002;F;037.146.982-13;17719.9;05/08/2022;
10;6;13;909465;836839;Maria Julia;Borges;30/12/1999;F;496.257.083-83;19336.2;27/04/2023;
1;3;49;748134;411493;Ester;Pimenta;27/02/2001;M;132.890.654-05;15703.27;03/09/2023;
7;7;39;969476;109911;Ester;Sousa;15/12/2004;F;215.970.643-43;12677.41;24/11/2019;
6;8;32;431066;166734;Raquel;Sampaio;19/09/1987;F;690.137.254-06;15593.87;01/11/2023;
6;6;2;149625;659140;Marcos Vinicius;Pereira;03/03/1992;F;528.437.106-26;15673.43;30/03/2017;
1;4;28;919747;270148;Luísa;Nascimento;19/09/1987;M;204.637.891-13;14883.94;20/07/2016;
7;1;43;305252;578222;Guilherme;Monteiro;04/08/1975;F;809.654.712-76;2145.67;03/11/2024;
7;4;58;363728;140680;Théo;Sampaio;24/02/1997;M;623.504.179-99;3540.53;05/02/2015;
1;7;29;604710;417750;Rael;Casa Grande;11/10/1999;F;298.067.514-85;2909.12;10/09/2024;
2;7;50;571383;761487;Valentim;Pacheco;12/06/1987;M;012.639.785-68;4630.81;23/10/2021;
4;1;49;550821;142141;Heloisa;Almeida;19/01/1979;F;391.457.620-07;8104.02;31/07/2022;
5;6;24;717428;124233;Antonella;Albuquerque;02/12/1975;F;682.574.301-53;15808.28;27/06/2016;
3;6;10;658481;525926;Lívia;Rezende;18/02/2002;F;439.620.571-61;11362.93;28/04/2015;
7;9;1;320070;245930;Helena;Ramos;24/04/1989;F;046.385.192-70;7910.73;31/05/2019;
9;5;12;430023;426035;Heitor;Gomes;15/05/1976;M;378.249.165-37;14143.59;09/06/2019;
1;9;55;112003;730697;Luiz Felipe;Sales;07/12/1959;M;354.860.712-80;12522.04;12/05/2020;
9;2;28;279634;721990;Matheus;Farias;18/10/1986;M;213.957.408-79;8453.31;24/02/2022;
1;2;50;935762;379760;Luiza;Jesus;08/09/1983;F;918.437.056-48;7389.54;15/01/2023;
6;5;26;698921;510166;Renan;Gonçalves;24/03/2002;M;160.524.938-60;18570.54;02/11/2023;
2;9;38;965545;928978;Josué;Novais;20/05/2004;M;502.867.419-11;1976.96;02/01/2019;
3;9;14;428765;637801;Evelyn;Rios;06/10/1997;M;742.360.859-92;9606.43;25/06/2020;
5;1;66;615974;140790;Oliver;das Neves;12/12/1995;F;184.067.235-80;4669.7;21/01/2019;
1;7;63;974635;841319;Henry;Rodrigues;26/01/1970;M;728.391.650-40;13415.06;31/05/2024;
4;9;31;915844;477653;Gabriela;Almeida;23/03/1967;M;149.537.268-55;10378.95;12/10/2018;
9;8;47;577548;676319;Maria Fernanda;Ramos;03/05/1999;F;895.130.724-79;10244.56;11/09/2019;
9;6;31;167290;317146;Cecilia;Moraes;25/03/1980;M;794.261.803-03;9953.04;18/05/2020;29/07/2020
8;7;42;593621;999337;Esther;Melo;12/03/2001;F;430.789.165-10;11788.6;08/07/2020;
4;2;15;311106;147924;João Felipe;Andrade;28/04/1992;F;678.201.453-07;16519.47;10/02/2017;
1;3;1;614985;585866;Erick;Silveira;12/03/1994;M;864.103.529-05;1630.52;14/09/2020;
9;8;39;748807;723960;André;Costa;02/11/2000;M;467.592.038-10;18727.92;05/10/2020;
6;2;57;719050;5395;Gabrielly;Ramos;12/12/1986;M;634.897.021-31;5693.03;13/10/2019;
5;5;19;235528;9408;Maria Vitória;Cassiano;12/01/1986;F;694.372.510-61;8065.01;09/10/2020;05/12/2020
6;2;18;81267;319570;Laís;Macedo;15/11/1988;F;413.287.065-08;5685.75;12/07/2017;
7;3;65;242881;301888;Luiz Otávio;Monteiro;31/07/1963;M;120.956.784-94;15234.18;20/03/2022;
