id_departamento;id_cargo;id_contato;id_endereco;nome;sobrenome;dt_nascimento;genero;cpf;salario;dt_admissao;dt_demissao
8;4;570154;799010;Ana Vitória;Alves;1980-04-18;F;624.351.798-55;6681.64;2023-07-30;2023-09-14
2;5;926646;700962;Luan;Cardoso;1967-12-28;M;708.643.159-10;1504.68;2016-03-31;
10;7;466181;106989;Luiz Fernando;da Luz;1972-08-04;F;459.627.301-43;8045.71;2024-04-11;
4;2;37174;73879;Leandro;Andrade;2001-12-01;F;920.687.153-68;7153.67;2018-12-08;
9;4;933966;964667;Maria Cecília;Moreira;1969-09-20;M;527.640.981-11;2759.72;2014-12-01;
5;9;140951;601864;Emanuel;Caldeira;1987-12-25;M;957.234.680-65;11330.45;2017-03-10;
9;7;777443;816370;Anna Liz;Almeida;1971-04-20;F;205.418.396-24;6906.7;2020-03-03;
3;3;129288;730891;Heloisa;Aragão;1999-09-26;M;251.306.947-16;8556.41;2020-02-22;
3;9;700720;313484;Maria;Jesus;1971-03-03;F;074.139.285-23;13194.06;2015-04-27;
4;8;512605;728442;Clara;Almeida;1970-12-04;F;605.349.782-74;10615.32;2023-12-27;2024-05-31
8;5;149749;781409;Vinicius;Alves;2002-12-21;F;819.260.345-89;2469.51;2023-08-31;
1;6;494434;409958;Allana;Andrade;1958-12-04;M;652.481.907-11;17155.16;2019-01-01;2024-04-24
2;7;6736;378828;Bella;Alves;1991-09-26;M;603.152.487-26;3648.81;2020-11-11;
5;5;762420;944480;Rael;Castro;1987-07-04;M;752.340.198-88;4102.58;2021-07-04;
4;2;455102;483284;Luiz Felipe;Cassiano;1960-03-14;F;059.768.143-01;8606.41;2015-04-29;
7;3;469020;978565;Larissa;Lopes;1997-07-12;M;532.741.806-53;11196.99;2021-10-23;
3;8;366129;827681;Clara;Brito;1988-03-29;F;637.819.524-28;9404.87;2021-08-18;
4;4;460611;985698;Davi Miguel;da Cunha;1977-08-24;M;850.463.197-48;12350.81;2020-05-06;
7;1;245398;663933;Heloísa;Pires;1966-02-18;M;802.539.671-12;17613.67;2022-03-29;
3;4;640450;311980;Gustavo Henrique;Silva;1990-03-23;M;972.183.406-87;14541.09;2023-06-11;
5;6;431419;480557;Henry Gabriel;Freitas;1982-05-19;M;257.840.136-53;13189.77;2024-10-20;
9;7;609181;476686;Aylla;da Rocha;1984-09-27;F;046.953.217-34;6212.92;2020-10-10;
6;5;44287;45936;João Felipe;Cardoso;1966-05-19;M;952.034.816-60;4512.86;2016-03-13;
1;3;66784;824894;Laís;Nogueira;1996-07-26;F;298.165.073-40;14089.32;2023-04-06;2024-01-08
7;9;966150;231707;Alícia;Silva;1981-09-06;F;164.927.530-70;5067.69;2021-04-10;
10;2;833398;334528;Ana Laura;da Costa;1984-08-20;F;567.423.809-00;11414.17;2017-05-21;
5;1;547347;46507;Anthony;Pacheco;1999-05-25;M;813.456.097-01;8321.03;2021-04-08;
9;6;196907;877964;Enzo Gabriel;Vieira;1961-04-29;M;015.673.298-02;6148.63;2021-02-25;
5;5;542010;901770;Thiago;Rios;1991-12-25;F;321.647.089-03;6210.82;2023-09-03;
4;1;320670;979563;Julia;Pereira;2003-10-31;M;376.204.195-43;1670.36;2022-05-18;
8;1;961700;848301;Cauê;Garcia;1964-10-12;F;965.143.087-75;19609.53;2019-06-12;
2;2;85435;252859;Natália;Mendonça;1996-05-10;M;674.198.205-11;16785.9;2017-04-26;
4;8;642522;80891;Maria Alice;Azevedo;1963-07-15;F;768.402.359-47;11841.71;2019-12-03;
7;1;189152;261859;João Miguel;Fonseca;1965-04-13;F;209.461.835-89;5570.93;2024-05-16;
5;6;335122;455967;Mariane;Silva;2005-11-09;M;175.620.438-17;11805.5;2023-05-05;
9;4;745609;311051;Ana Lívia;da Mota;1974-02-27;F;075.429.618-02;11009.66;2018-09-21;
5;5;243048;17363;Emilly;Garcia;1968-10-09;M;349.572.810-41;12875.13;2016-11-27;
3;7;260859;228658;Isadora;Fogaça;1992-11-30;F;735.928.614-09;17776.09;2019-09-10;2020-08-02
1;9;540314;449074;Maria Luiza;da Rocha;1967-01-31;M;725.196.840-11;3753.19;2016-09-29;
2;6;240714;707666;Hadassa;Gomes;1990-07-04;F;873.594.210-04;5598.82;2020-03-23;
4;2;543324;322457;Rafaela;Rodrigues;1958-12-26;F;175.396.024-06;5821.66;2021-10-15;
5;3;143957;849084;Francisco;da Luz;1972-07-03;M;521.798.034-60;11732.77;2015-01-05;
10;1;851440;136130;Giovanna;Nascimento;1959-03-08;F;213.057.864-08;4372.0;2016-01-04;
2;3;802204;216536;Stella;Cavalcanti;1974-10-26;F;368.907.145-39;12035.71;2019-06-16;
4;4;768146;138547;Benjamin;Pacheco;1982-06-29;M;597.814.063-48;15559.38;2016-08-20;
10;3;659544;522680;Yago;Alves;2005-12-27;M;296.148.730-78;12896.31;2024-05-24;
10;6;512963;477735;Heitor;Sales;1991-03-04;F;187.396.205-30;1733.76;2019-03-16;
3;8;848547;999635;Gabriela;Barros;1997-04-27;F;853.712.690-02;11601.53;2022-06-24;
2;5;144121;633661;Anthony Gabriel;Novaes;1986-06-04;F;736.128.405-17;14513.25;2022-05-17;
5;7;989621;62056;Alice;Fonseca;2003-05-01;M;721.984.035-79;2208.33;2020-09-15;
4;6;904883;462627;Brayan;Farias;2001-03-09;M;276.513.409-06;6311.97;2021-07-10;
5;1;373669;601456;Calebe;Viana;1981-12-09;M;835.147.906-39;15047.81;2024-08-01;
1;8;658328;64302;Paulo;Peixoto;1988-11-28;M;037.426.195-43;5967.14;2015-12-07;
6;2;860836;65438;João Felipe;da Cruz;1989-01-13;F;931.648.257-73;19483.73;2023-04-09;
4;8;456355;148956;Matheus;Castro;1984-03-25;F;857.362.904-56;7271.11;2018-08-12;
7;7;10102;429166;Ian;Sá;1969-06-22;F;673.250.418-53;11373.55;2016-05-13;
8;1;592161;966271;Júlia;Pacheco;1997-08-20;M;683.501.742-26;9065.28;2024-02-16;
1;9;144942;652051;Stephany;Azevedo;1964-03-14;M;970.134.268-22;2973.48;2015-04-09;
3;4;991909;23043;Rhavi;Pimenta;1960-10-09;M;985.132.046-33;15242.02;2019-08-12;
9;3;752661;82302;Pedro Lucas;Garcia;1985-01-03;F;853.642.079-00;18661.51;2020-03-29;
10;8;744602;157361;Maria Vitória;Azevedo;1994-10-04;M;765.390.418-10;6170.75;2017-04-14;
7;1;656162;977717;Bento;Campos;1988-02-14;M;304.298.615-24;10682.38;2018-02-05;
3;8;247617;532088;Vitória;Nogueira;1962-12-06;F;580.137.264-44;4502.27;2020-09-22;
6;5;842347;516228;Gael Henrique;Pimenta;1997-01-24;F;614.709.523-43;1773.5;2023-02-17;
5;9;491696;36626;Bernardo;Moreira;1974-01-28;F;513.896.704-57;18780.66;2020-10-19;
7;2;423393;363425;Levi;da Mata;1982-08-04;F;839.721.560-30;2446.32;2016-04-16;
1;5;713793;713445;Beatriz;das Neves;1980-11-14;F;019.278.654-76;19906.4;2022-07-07;
9;9;356810;404826;Felipe;Leão;1993-01-31;F;861.043.297-13;5365.94;2018-12-22;
6;4;614619;706598;Luiza;Rocha;2006-06-04;F;408.672.591-67;4507.19;2020-04-07;
3;6;887323;783701;Ágatha;Rezende;1978-06-08;M;032.749.816-13;12321.25;2024-10-13;
3;6;380836;305336;Rael;da Cunha;1980-02-27;F;879.503.264-92;7475.54;2018-10-21;
10;7;178296;1062;Maria Liz;Gomes;1960-12-15;M;314.085.967-84;12019.15;2023-10-25;
6;1;994688;756679;Júlia;Campos;1994-10-04;F;374.295.860-74;18333.26;2017-09-01;
5;4;73659;575540;Sabrina;Fogaça;1972-08-26;F;329.681.457-46;6656.08;2024-02-18;
9;3;66362;690867;Benjamim;Cirino;1974-09-15;M;623.941.580-42;12224.21;2023-10-16;
9;7;791417;455751;Ana Clara;Vieira;1960-04-21;F;730.816.495-01;7260.86;2023-12-12;
5;5;563999;552878;Sara;Monteiro;1965-11-19;F;210.675.893-68;19816.67;2022-07-15;
7;3;885776;6216;Yuri;Jesus;1982-05-16;M;641.978.520-02;16016.02;2015-08-24;
10;7;378475;486677;Cauê;Moraes;1963-06-09;M;739.561.208-68;11889.58;2020-11-06;
10;4;943524;16455;Elisa;Fonseca;1979-02-09;F;842.031.597-41;11288.26;2020-01-01;
4;6;658312;734097;Lunna;Carvalho;1991-03-25;F;458.679.312-00;1854.12;2023-05-29;
10;4;287806;194136;Ana Cecília;Rocha;1997-04-20;F;396.124.750-16;2941.6;2023-09-04;
8;9;938433;846017;Sophia;Vasconcelos;1993-04-30;M;754.326.089-10;19223.08;2019-03-31;
2;7;665583;413918;Maria Cecília;Sales;1963-07-22;F;031.629.745-34;6174.68;2021-01-02;
6;6;95032;321933;Vitor Gabriel;Albuquerque;2004-10-09;M;092.671.345-07;10611.58;2020-11-28;
4;7;405406;456773;Erick;Pacheco;1988-04-07;F;102.845.796-02;14396.33;2021-05-28;
10;8;371808;870164;Matteo;Dias;1971-06-06;M;279.465.380-65;11941.68;2014-12-03;
1;7;496737;965655;Cauê;Lopes;2000-01-04;M;021.385.749-97;2269.35;2020-08-23;
6;6;4712;72744;João Guilherme;Dias;2003-08-02;M;478.925.013-04;14769.82;2016-09-15;
8;1;329811;973218;Olivia;da Luz;1996-11-28;M;679.514.302-34;7323.82;2024-10-26;
5;7;703479;149037;Henry Gabriel;Cirino;1991-09-11;M;416.270.539-99;8977.76;2015-01-05;
1;3;131474;936200;Bruno;Pereira;1959-11-19;M;216.370.954-06;18346.48;2016-04-27;
1;9;45583;863496;Heloísa;Ramos;1998-04-16;F;309.785.641-20;19069.06;2021-10-17;
10;2;84651;586990;Jade;Nogueira;1962-08-08;M;782.415.603-62;16546.03;2019-10-09;
5;6;734429;743098;Vitor Gabriel;da Cunha;1973-04-11;F;608.475.293-47;15973.1;2023-07-04;
8;3;793429;943889;João Felipe;Camargo;1981-06-25;F;052.749.813-05;11725.44;2019-03-12;
10;3;672714;537105;Manuella;Farias;2005-04-21;M;791.023.485-60;18075.44;2024-04-02;
2;4;679897;829444;Letícia;Moreira;1963-11-29;F;326.748.105-80;12801.51;2017-07-11;
9;3;743997;349875;Bernardo;Gomes;2002-09-26;M;918.426.573-64;10314.98;2021-09-18;
9;2;860456;542818;Antonella;Souza;2004-06-11;F;975.140.362-61;1545.52;2023-08-04;
2;7;637053;369435;Anthony Gabriel;da Cruz;1997-12-16;F;179.234.860-69;7712.44;2023-09-12;
6;2;142721;332285;Natália;Camargo;1961-08-12;M;950.216.483-06;4878.09;2022-01-02;
6;4;46284;433939;Alexandre;Ramos;1974-12-11;M;752.083.149-32;14428.58;2024-09-29;
1;3;375269;963012;Maria Sophia;Cunha;1960-09-24;M;729.846.350-00;9052.18;2023-08-04;
10;5;704977;324789;Liz;Gonçalves;1975-01-07;F;564.182.973-00;9126.19;2022-08-16;
5;4;995398;406490;Renan;Peixoto;1981-11-09;M;925.168.740-49;8115.77;2022-06-23;
6;1;185690;423377;Maria Luiza;Costela;2005-12-14;M;253.804.761-71;7471.86;2021-07-03;
8;8;84359;899654;Yago;Moraes;1972-08-15;M;569.708.142-11;11408.85;2024-05-09;
5;1;679475;540924;Maria Cecília;Barros;1975-12-12;M;847.326.095-38;16977.1;2020-07-26;
6;2;494281;34674;Liam;Teixeira;1976-12-25;M;987.243.510-32;18317.53;2016-05-26;
5;1;762;394985;Enrico;Vieira;2001-08-14;F;180.654.237-44;4401.92;2024-06-17;
3;3;183097;817183;Ravy;Almeida;1961-09-06;M;149.683.720-78;13342.22;2019-08-07;
10;6;991533;25007;Ana Carolina;Castro;1971-05-17;F;932.167.850-68;19233.73;2019-06-28;
7;1;237425;251963;Nicolas;Barros;1968-02-26;F;623.940.871-96;7578.53;2017-01-08;2023-06-12
6;4;171570;921011;Vitor Hugo;Barros;2006-06-21;F;943.015.687-00;10063.63;2017-05-07;
3;7;592360;808200;Maria Vitória;Nascimento;1961-09-01;M;853.917.246-19;4499.61;2018-10-24;
7;3;156111;20458;Yan;Rocha;1971-09-20;M;157.264.809-02;16745.58;2024-04-09;
1;1;814869;970518;Heloísa;Azevedo;1970-10-18;M;618.473.592-64;12100.52;2023-12-30;
3;7;825967;27727;Mathias;Teixeira;1970-12-18;F;147.238.096-78;9570.88;2021-05-28;
6;4;967350;144527;Ísis;Cardoso;1995-09-11;F;920.843.571-79;10939.67;2018-05-03;
2;3;427566;593609;Heloísa;Borges;1965-07-07;F;861.453.702-62;19371.94;2018-11-02;
7;4;494020;400304;Rodrigo;Brito;1999-08-09;M;691.847.503-75;18452.24;2016-06-02;
8;7;965129;609617;Matheus;Brito;1993-10-18;M;236.489.570-74;16958.27;2020-11-03;2022-04-23
9;6;568685;22783;Noah;Sampaio;2002-09-24;F;037.146.982-13;17719.9;2022-08-05;
10;6;909465;836839;Maria Julia;Borges;1999-12-30;F;496.257.083-83;19336.2;2023-04-27;
1;3;748134;411493;Ester;Pimenta;2001-02-27;M;132.890.654-05;15703.27;2023-09-03;
7;7;969476;109911;Ester;Sousa;2004-12-15;F;215.970.643-43;12677.41;2019-11-24;
6;8;431066;166734;Raquel;Sampaio;1987-09-19;F;690.137.254-06;15593.87;2023-11-01;
6;6;149625;659140;Marcos Vinicius;Pereira;1992-03-03;F;528.437.106-26;15673.43;2017-03-30;
1;4;919747;270148;Luísa;Nascimento;1987-09-19;M;204.637.891-13;14883.94;2016-07-20;
7;1;305252;578222;Guilherme;Monteiro;1975-08-04;F;809.654.712-76;2145.67;2024-11-03;
7;4;363728;140680;Théo;Sampaio;1997-02-24;M;623.504.179-99;3540.53;2015-02-05;
1;7;604710;417750;Rael;Casa Grande;1999-10-11;F;298.067.514-85;2909.12;2024-09-10;
2;7;571383;761487;Valentim;Pacheco;1987-06-12;M;012.639.785-68;4630.81;2021-10-23;
4;1;550821;142141;Heloisa;Almeida;1979-01-19;F;391.457.620-07;8104.02;2022-07-31;
5;6;717428;124233;Antonella;Albuquerque;1975-12-02;F;682.574.301-53;15808.28;2016-06-27;
3;6;658481;525926;Lívia;Rezende;2002-02-18;F;439.620.571-61;11362.93;2015-04-28;
7;9;320070;245930;Helena;Ramos;1989-04-24;F;046.385.192-70;7910.73;2019-05-31;
9;5;430023;426035;Heitor;Gomes;1976-05-15;M;378.249.165-37;14143.59;2019-06-09;
1;9;112003;730697;Luiz Felipe;Sales;1959-12-07;M;354.860.712-80;12522.04;2020-05-12;
9;2;279634;721990;Matheus;Farias;1986-10-18;M;213.957.408-79;8453.31;2022-02-24;
1;2;935762;379760;Luiza;Jesus;1983-09-08;F;918.437.056-48;7389.54;2023-01-15;
6;5;698921;510166;Renan;Gonçalves;2002-03-24;M;160.524.938-60;18570.54;2023-11-02;
2;9;965545;928978;Josué;Novais;2004-05-20;M;502.867.419-11;1976.96;2019-01-02;
3;9;428765;637801;Evelyn;Rios;1997-10-06;M;742.360.859-92;9606.43;2020-06-25;
5;1;615974;140790;Oliver;das Neves;1995-12-12;F;184.067.235-80;4669.7;2019-01-21;
1;7;974635;841319;Henry;Rodrigues;1970-01-26;M;728.391.650-40;13415.06;2024-05-31;
4;9;915844;477653;Gabriela;Almeida;1967-03-23;M;149.537.268-55;10378.95;2018-10-12;
9;8;577548;676319;Maria Fernanda;Ramos;1999-05-03;F;895.130.724-79;10244.56;2019-09-11;
9;6;167290;317146;Cecilia;Moraes;1980-03-25;M;794.261.803-03;9953.04;2020-05-18;2020-07-29
8;7;593621;999337;Esther;Melo;2001-03-12;F;430.789.165-10;11788.6;2020-07-08;
4;2;311106;147924;João Felipe;Andrade;1992-04-28;F;678.201.453-07;16519.47;2017-02-10;
1;3;614985;585866;Erick;Silveira;1994-03-12;M;864.103.529-05;1630.52;2020-09-14;
9;8;748807;723960;André;Costa;2000-11-02;M;467.592.038-10;18727.92;2020-10-05;
6;2;719050;5395;Gabrielly;Ramos;1986-12-12;M;634.897.021-31;5693.03;2019-10-13;
5;5;235528;9408;Maria Vitória;Cassiano;1986-01-12;F;694.372.510-61;8065.01;2020-10-09;2020-12-05
6;2;81267;319570;Laís;Macedo;1988-11-15;F;413.287.065-08;5685.75;2017-07-12;
7;3;242881;301888;Luiz Otávio;Monteiro;1963-07-31;M;120.956.784-94;15234.18;2022-03-20;
6;5;403010;642166;Luiz Henrique;da Rocha;1985-11-17;M;740.136.925-70;16876.32;2022-12-06;
6;9;910847;493847;Alexia;Siqueira;1979-08-25;M;460.925.378-00;13639.36;2019-11-15;
6;7;290888;376664;Pedro Lucas;Marques;2001-12-28;F;483.706.592-92;15695.49;2021-02-23;
5;2;503031;947493;Anthony Gabriel;da Rocha;1979-11-22;F;098.471.635-10;3731.61;2024-11-01;
4;3;974811;354519;João Lucas;Almeida;1997-01-11;F;218.504.639-05;5730.89;2023-03-01;
7;8;538480;484207;Luana;Barros;1966-09-16;M;792.401.836-04;13999.14;2023-07-30;
8;4;329803;543077;José Pedro;Barros;2001-07-05;M;803.957.241-04;3200.06;2024-06-06;
4;7;50992;603333;Zoe;Gonçalves;1979-09-30;M;312.497.685-19;9020.3;2015-03-26;
6;3;118603;189607;Antony;Abreu;1968-08-12;F;432.108.975-14;2022.86;2019-07-25;2021-10-12
1;7;560545;4726;João Lucas;Aparecida;1970-08-04;M;593.804.761-75;3655.09;2020-05-02;
